Station,Habichtstraße
Komponente,PM10
Einheit,µg/m³
Messzeit,24-Stundenwerte (gleitend)

05.01.2015 00:00,14
04.01.2015 23:00,14
04.01.2015 22:00,14
04.01.2015 21:00,14
04.01.2015 20:00,14
04.01.2015 19:00,14
04.01.2015 18:00,14
04.01.2015 17:00,14
04.01.2015 16:00,14
04.01.2015 15:00,14
04.01.2015 14:00,14
04.01.2015 13:00,15
04.01.2015 12:00,15
04.01.2015 11:00,15
04.01.2015 10:00,15
04.01.2015 09:00,16
04.01.2015 08:00,16
04.01.2015 07:00,16
04.01.2015 06:00,16
04.01.2015 05:00,16
04.01.2015 04:00,16
04.01.2015 03:00,17
04.01.2015 02:00,17
04.01.2015 01:00,17
04.01.2015 00:00,18
03.01.2015 23:00,18
03.01.2015 22:00,18
03.01.2015 21:00,18
03.01.2015 20:00,18
03.01.2015 19:00,18
03.01.2015 18:00,19
03.01.2015 17:00,19
03.01.2015 16:00,19
03.01.2015 15:00,19
03.01.2015 14:00,19
03.01.2015 13:00,19
03.01.2015 12:00,18
03.01.2015 11:00,18
03.01.2015 10:00,18
03.01.2015 09:00,18
03.01.2015 08:00,18
03.01.2015 07:00,18
03.01.2015 06:00,17
03.01.2015 05:00,17
03.01.2015 04:00,17
03.01.2015 03:00,17
03.01.2015 02:00,16
03.01.2015 01:00,16
03.01.2015 00:00,16
02.01.2015 23:00,17
02.01.2015 22:00,17
02.01.2015 21:00,17
02.01.2015 20:00,17
02.01.2015 19:00,18
02.01.2015 18:00,18
02.01.2015 17:00,19
02.01.2015 16:00,20
02.01.2015 15:00,21
02.01.2015 14:00,23
02.01.2015 13:00,24
02.01.2015 12:00,26
02.01.2015 11:00,27
02.01.2015 10:00,29
02.01.2015 09:00,31
02.01.2015 08:00,33
02.01.2015 07:00,35
02.01.2015 06:00,38
02.01.2015 05:00,40
02.01.2015 04:00,44
02.01.2015 03:00,46
02.01.2015 02:00,48
02.01.2015 01:00,51
02.01.2015 00:00,61
01.01.2015 23:00,62
01.01.2015 22:00,62
01.01.2015 21:00,63
01.01.2015 20:00,64
01.01.2015 19:00,64
01.01.2015 18:00,65
01.01.2015 17:00,65
01.01.2015 16:00,64
01.01.2015 15:00,63
01.01.2015 14:00,62
01.01.2015 13:00,60
01.01.2015 12:00,59
01.01.2015 11:00,58
01.01.2015 10:00,56
01.01.2015 09:00,55
01.01.2015 08:00,53
01.01.2015 07:00,51
01.01.2015 06:00,49
01.01.2015 05:00,46
01.01.2015 04:00,43
01.01.2015 03:00,41
01.01.2015 02:00,39
01.01.2015 01:00,37
01.01.2015 00:00,28
