Station,Habichtstraße,Habichtstraße
Komponente,PM10,PM2,5
Einheit,µg/m³,µg/m³
Messzeit,24-Stundenwerte (gleitend),24-Stundenwerte (gleitend)

14.12.2015 00:00,15,
13.12.2015 23:00,13,
13.12.2015 22:00,12,
13.12.2015 21:00,12,
13.12.2015 20:00,11,
13.12.2015 19:00,11,
13.12.2015 18:00,11,
13.12.2015 17:00,11,
13.12.2015 16:00,11,
13.12.2015 15:00,11,
13.12.2015 14:00,12,
13.12.2015 13:00,12,
13.12.2015 12:00,13,
13.12.2015 11:00,13,
13.12.2015 10:00,14,
13.12.2015 09:00,14,
13.12.2015 08:00,15,
13.12.2015 07:00,15,
13.12.2015 06:00,16,
13.12.2015 05:00,16,
13.12.2015 04:00,17,
13.12.2015 03:00,17,
13.12.2015 02:00,18,
13.12.2015 01:00,18,
13.12.2015 00:00,18,
12.12.2015 23:00,18,
12.12.2015 22:00,18,
12.12.2015 21:00,18,
12.12.2015 20:00,17,
12.12.2015 19:00,17,
12.12.2015 18:00,16,
12.12.2015 17:00,15,
12.12.2015 16:00,14,
12.12.2015 15:00,14,
12.12.2015 14:00,15,
12.12.2015 13:00,15,
12.12.2015 12:00,15,
12.12.2015 11:00,16,
12.12.2015 10:00,16,
12.12.2015 09:00,17,
12.12.2015 08:00,17,
12.12.2015 07:00,17,
12.12.2015 06:00,17,
12.12.2015 05:00,18,
12.12.2015 04:00,18,
12.12.2015 03:00,18,
12.12.2015 02:00,18,
12.12.2015 01:00,18,
12.12.2015 00:00,18,
11.12.2015 23:00,18,
11.12.2015 22:00,18,
11.12.2015 21:00,18,
11.12.2015 20:00,18,
11.12.2015 19:00,18,
11.12.2015 18:00,18,
11.12.2015 17:00,18,
11.12.2015 16:00,19,
11.12.2015 15:00,19,
11.12.2015 14:00,18,
11.12.2015 13:00,18,
11.12.2015 12:00,18,
11.12.2015 11:00,17,
11.12.2015 10:00,17,
11.12.2015 09:00,17,
11.12.2015 08:00,17,
11.12.2015 07:00,18,
11.12.2015 06:00,18,
11.12.2015 05:00,19,
11.12.2015 04:00,19,
11.12.2015 03:00,19,
11.12.2015 02:00,19,
11.12.2015 01:00,20,
11.12.2015 00:00,21,
10.12.2015 23:00,21,
10.12.2015 22:00,22,
10.12.2015 21:00,22,
10.12.2015 20:00,23,
10.12.2015 19:00,23,
10.12.2015 18:00,24,
10.12.2015 17:00,24,
10.12.2015 16:00,24,
10.12.2015 15:00,24,
10.12.2015 14:00,24,
10.12.2015 13:00,24,
10.12.2015 12:00,24,
10.12.2015 11:00,24,
10.12.2015 10:00,24,
10.12.2015 09:00,24,
10.12.2015 08:00,23,
10.12.2015 07:00,23,
10.12.2015 06:00,23,
10.12.2015 05:00,23,
10.12.2015 04:00,24,
10.12.2015 03:00,24,
10.12.2015 02:00,25,
10.12.2015 01:00,25,
10.12.2015 00:00,25,
09.12.2015 23:00,25,
09.12.2015 22:00,25,
09.12.2015 21:00,24,
09.12.2015 20:00,24,
09.12.2015 19:00,24,
09.12.2015 18:00,24,
09.12.2015 17:00,24,
09.12.2015 16:00,24,
09.12.2015 15:00,24,
09.12.2015 14:00,24,
09.12.2015 13:00,25,
09.12.2015 12:00,25,
09.12.2015 11:00,25,
09.12.2015 10:00,26,
09.12.2015 09:00,26,
09.12.2015 08:00,27,
09.12.2015 07:00,27,
09.12.2015 06:00,27,
09.12.2015 05:00,27,
09.12.2015 04:00,26,
09.12.2015 03:00,26,
09.12.2015 02:00,25,
09.12.2015 01:00,25,
09.12.2015 00:00,25,
08.12.2015 23:00,26,
08.12.2015 22:00,28,
08.12.2015 21:00,29,
08.12.2015 20:00,31,
08.12.2015 19:00,34,
08.12.2015 18:00,37,
08.12.2015 17:00,39,
08.12.2015 16:00,40,
08.12.2015 15:00,41,
08.12.2015 14:00,43,
08.12.2015 13:00,44,
08.12.2015 12:00,45,
08.12.2015 11:00,45,
08.12.2015 10:00,45,
08.12.2015 09:00,45,
08.12.2015 08:00,45,
08.12.2015 07:00,45,
08.12.2015 06:00,45,
08.12.2015 05:00,44,
08.12.2015 04:00,44,
08.12.2015 03:00,44,
08.12.2015 02:00,43,
08.12.2015 01:00,43,
08.12.2015 00:00,42,
07.12.2015 23:00,42,
07.12.2015 22:00,40,
07.12.2015 21:00,39,
07.12.2015 20:00,37,
07.12.2015 19:00,35,
07.12.2015 18:00,32,
07.12.2015 17:00,30,
07.12.2015 16:00,28,
07.12.2015 15:00,26,
07.12.2015 14:00,24,
07.12.2015 13:00,23,
07.12.2015 12:00,22,
07.12.2015 11:00,21,
07.12.2015 10:00,20,
07.12.2015 09:00,20,
07.12.2015 08:00,19,
07.12.2015 07:00,19,
07.12.2015 06:00,19,
07.12.2015 05:00,19,
07.12.2015 04:00,19,
07.12.2015 03:00,18,
07.12.2015 02:00,18,
07.12.2015 01:00,17,
07.12.2015 00:00,16,
